Player,Role,Amount,Team,Year,Player Origin
Jitesh Sharma,Wicket Keeper,2000000,Punjab Kings,2022,Indian
Joe Denly,Batsman,10000000,Kolkata Knight Riders,2019,Overseas
Joel Paris,Bowler,3000000,Delhi Daredevils,2016,Overseas
Jofra Archer,All-Rounder,72000000,Rajasthan Royals,2018,Overseas
Jofra Archer,All-Rounder,80000000,Mumbai Indians,2022,Overseas
Johan Botha,All-Rounder,33750000,Delhi Daredevils,2013,Overseas
John Hastings,All-Rounder,5000000,Chennai Super Kings,2014,Overseas
John Hastings,Bowler,13000000,Kolkata Knight Riders,2016,Overseas
Jonny Bairstow,Wicket Keeper,22000000,Sunrisers Hyderabad,2019,Overseas
Jonny Bairstow,Wicket Keeper,67500000,Punjab Kings,2022,Overseas
Jos Buttler,Wicket Keeper,38000000,Mumbai Indians,2016,Overseas
Jos Buttler,Wicket Keeper,44000000,Rajasthan Royals,2018,Overseas
Josh Hazlewood,Bowler,5000000,Mumbai Indians,2014,Overseas
Josh Hazlewood,Bowler,20000000,Chennai Super Kings,2020,Overseas
Josh Hazlewood,Bowler,77500000,Royal Challengers Bangalore,2022,Overseas
Joshua Philippe,Wicket Keeper,2000000,Royal Challengers Bangalore,2020,Overseas
Juan Theron,Bowler,3000000,Rajasthan Royals,2015,Overseas
Krishnappa Gowtham,All-Rounder,9000000,Lucknow Super Giants,2022,Indian
K.Bhagath Varma,All-Rounder,2000000,Chennai Super Kings,2021,Indian
K.Bhagath Varma,All-Rounder,2000000,Chennai Super Kings,2022,Indian
K.C Cariappa,Bowler,2000000,Rajasthan Royals,2021,Indian
K.C Cariappa,Bowler,3000000,Rajasthan Royals,2022,Indian
K.C. Cariappa,Bowler,24000000,Kolkata Knight Riders,2015,Indian
K.C. Cariappa,Bowler,8000000,Kings XI Punjab,2016,Indian
K.K. Jiyaz,Bowler,1000000,Delhi Daredevils,2015,Indian
K.M. Asif,Bowler,2000000,Chennai Super Kings,2022,Indian
K.S. Bharat,Wicket Keeper,20000000,Delhi Capitals,2022,Indian
Kagiso Rabada,Bowler,50000000,Delhi Daredevils,2017,Overseas
Kagiso Rabada,Bowler,42000000,Delhi Daredevils,2018,Overseas
Kagiso Rabada,Bowler,92500000,Punjab Kings,2022,Overseas
Kamlesh Nagarkoti,All-Rounder,32000000,Kolkata Knight Riders,2018,Indian
Kamlesh Nagarkoti,All-Rounder,11000000,Delhi Capitals,2022,Indian
Kane Richardson,Bowler,52500000,Pune Warriors India,2013,Overseas
Kane Richardson,Bowler,10000000,Rajasthan Royals,2014,Overseas
Kane Richardson,Bowler,20000000,Royal Challengers Bangalore,2016,Overseas
Kane Richardson,Bowler,40000000,Royal Challengers Bangalore,2020,Overseas
Kane Williamson,All-Rounder,6000000,Sunrisers Hyderabad,2015,Overseas
Kane Williamson,Batsman,30000000,Sunrisers Hyderabad,2018,Overseas
Kanishk Seth,All-Rounder,2000000,Chennai Super Kings,2018,Indian
Karan Sharma,All-Rounder,2000000,Lucknow Super Giants,2022,Indian
Karanveer Singh,All-Rounder,1000000,Kings XI Punjab,2014,Indian
Karn Sharma,Bowler,37500000,Sunrisers Hyderabad,2014,Indian
Karn Sharma,All-Rounder,32000000,Mumbai Indians,2017,Indian
Karn Sharma,Bowler,50000000,Chennai Super Kings,2018,Indian
Karn Sharma,Bowler,5000000,Royal Challengers Bangalore,2022,Indian
Kartik Tyagi,Bowler,13000000,Rajasthan Royals,2020,Indian
Kartik Tyagi,Bowler,40000000,Sunrisers Hyderabad,2022,Indian
Karun Nair,Batsman,7500000,Rajasthan Royals,2014,Indian
Karun Nair,Batsman,40000000,Delhi Daredevils,2016,Indian
Karun Nair,Batsman,56000000,Kings XI Punjab,2018,Indian
Karun Nair,Batsman,5000000,Kolkata Knight Riders,2021,Indian
Karun Nair,Batsman,14000000,Rajasthan Royals,2022,Indian
Kedar Jadhav,Batsman,20000000,Delhi Daredevils,2014,Indian
Kedar Jadhav,All-Rounder,78000000,Chennai Super Kings,2018,Indian
Kedar Jadhav,All-Rounder,20000000,Sunrisers Hyderabad,2021,Indian
Keemo Paul,All-Rounder,5000000,Delhi Capitals,2019,Overseas
Kevin Pietersen,Batsman,90000000,Delhi Daredevils,2014,Overseas
Kevin Pietersen,Batsman,20000000,Sunrisers Hyderabad,2015,Overseas
Kevin Pietersen,Batsman,35000000,Rising Pune Supergiant,2016,Overseas
Kevon Cooper,All-Rounder,3000000,Rajasthan Royals,2014,Overseas
Kieron Pollard,All-Rounder,54000000,Mumbai Indians,2018,Overseas
Kishore Pramod Kamath,All-Rounder,14000000,Mumbai Indians,2016,Indian
KL Rahul,Batsman,10000000,Sunrisers Hyderabad,2014,Indian
KL Rahul,Batsman,110000000,Kings XI Punjab,2018,Indian
Kona Srikar Bharat,Wicket Keeper,1000000,Delhi Daredevils,2015,Indian
Kona Srikar Bharat,Wicket Keeper,2000000,Royal Challengers Bangalore,2021,Indian
Krishnappa Gowtham,All-Rounder,20000000,Mumbai Indians,2017,Indian
Krishnappa Gowtham,Bowler,62000000,Rajasthan Royals,2018,Indian
Krishnappa Gowtham,All-Rounder,92500000,Chennai Super Kings,2021,Indian
Krismar Santokie,Bowler,3000000,Mumbai Indians,2014,Overseas
Krunal Pandya,All-Rounder,20000000,Mumbai Indians,2016,Indian
Krunal Pandya,All-Rounder,88000000,Mumbai Indians,2018,Indian
Krunal Pandya,All-Rounder,82500000,Lucknow Super Giants,2022,Indian
Kshitiz Sharma,All-Rounder,2000000,Chennai Super Kings,2018,Indian
Kuldeep Sen,Bowler,2000000,Rajasthan Royals,2022,Indian
Kuldeep Yadav,Bowler,4000000,Kolkata Knight Riders,2014,Indian
Kuldeep Yadav,Bowler,58000000,Kolkata Knight Riders,2018,Indian
Kuldeep Yadav,Bowler,20000000,Delhi Capitals,2022,Indian
Kuldip Yadav,Bowler,2000000,Rajasthan Royals,2021,Indian
Kuldip Yadav,Bowler,2000000,Rajasthan Royals,2022,Indian
Kulwant Khejroliya,Bowler,1000000,Mumbai Indians,2017,Indian
Kulwant Khejroliya,Bowler,8500000,Royal Challengers Bangalore,2018,Indian
Kusal Janith Perera,Wicket Keeper,1500000,Rajasthan Royals,2013,Indian
Kyle Abbott,Bowler,3000000,Chennai Super Kings,2015,Overseas
Kyle Abbott,Bowler,21000000,Kings XI Punjab,2016,Overseas
Kyle Jamieson,All-Rounder,150000000,Royal Challengers Bangalore,2021,Overseas
Kyle Mayers,All-Rounder,5000000,Lucknow Super Giants,2022,Overseas
Lakshmipathy Balaji,Bowler,18000000,Kings XI Punjab,2014,Indian
Lalit Yadav,All-Rounder,2000000,Delhi Capitals,2020,Indian
Lalit Yadav,All-Rounder,6500000,Delhi Capitals,2022,Indian
Lasith Malinga,Bowler,20000000,Mumbai Indians,2019,Overseas
Laxmi Ratan Shukla,All-Rounder,15000000,Delhi Daredevils,2014,Indian
Laxmi Ratan Shukla,All-Rounder,3000000,Sunrisers Hyderabad,2015,Indian
Liam Livingstone,All-Rounder,5000000,Rajasthan Royals,2019,Overseas
Liam Livingstone,All-Rounder,7500000,Rajasthan Royals,2021,Overseas
Liam Livingstone,All-Rounder,115000000,Punjab Kings,2022,Overseas
Lockie Ferguson,Bowler,5000000,Rising Pune Supergiant,2017,Overseas
Lockie Ferguson,Bowler,16000000,Kolkata Knight Riders,2019,Overseas
Lockie Ferguson,Bowler,100000000,Gujarat Titans,2022,Overseas
Luke Pomersbach,Batsman,22500000,Kings XI Punjab,2013,Overseas
Lukman Hussain Meriwala,Bowler,2000000,Delhi Capitals,2021,Indian
Lungisani Ngidi,Bowler,5000000,Chennai Super Kings,2018,Overseas
Lungisani Ngidi,Bowler,5000000,Delhi Capitals,2022,Overseas
Luvnith Sisodia,Wicket Keeper,2000000,Royal Challengers Bangalore,2022,Indian
M Siddharth,Bowler,2000000,Kolkata Knight Riders,2020,Indian
M Siddharth,Bowler,2000000,Delhi Capitals,2021,Indian
M. Ashwin,Bowler,45000000,Rising Pune Supergiant,2016,Indian
M. Ashwin,Bowler,10000000,Delhi Daredevils,2017,Indian
M. Ashwin,Bowler,22000000,Royal Challengers Bangalore,2018,Indian
M. Ashwin,Bowler,2000000,Kings XI Punjab,2019,Indian
M. Harisankar Reddy,Bowler,2000000,Chennai Super Kings,2021,Indian
Washington Sundar,All-Rounder,32000000,Royal Challengers Bangalore,2018,Indian
Maheesh Theekshana,Bowler,7000000,Chennai Super Kings,2022,Overseas
Mahipal Lomror,All-Rounder,1000000,Delhi Daredevils,2016,Indian
Mahipal Lomror,All-Rounder,2000000,Rajasthan Royals,2018,Indian
Mahipal Lomror,All-Rounder,9500000,Royal Challengers Bangalore,2022,Indian
Manan Ajay Sharma,All-Rounder,1000000,Kolkata Knight Riders,2016,Indian
Manan Vohra,Batsman,11000000,Royal Challengers Bangalore,2018,Indian
Manan Vohra,Batsman,2000000,Rajasthan Royals,2019,Indian
Manan Vohra,Batsman,2000000,Lucknow Super Giants,2022,Indian
Mandeep Hardev Singh,All-Rounder,8000000,Kings XI Punjab,2014,Indian
Mandeep Singh,All-Rounder,14000000,Royal Challengers Bangalore,2018,Indian
Mandeep Singh,Batsman,11000000,Delhi Capitals,2022,Indian
Manish Pandey,Batsman,17000000,Kolkata Knight Riders,2014,Indian
Manish Pandey,Batsman,110000000,Sunrisers Hyderabad,2018,Indian
Manish Pandey,Batsman,46000000,Lucknow Super Giants,2022,Indian
Manjot Kalra,Batsman,2000000,Delhi Daredevils,2018,Indian
Manoj Tiwary,Batsman,28000000,Delhi Daredevils,2014,Indian
Manoj Tiwary,Batsman,5000000,Rising Pune Supergiant,2017,Indian
Manoj Tiwary,Batsman,10000000,Kings XI Punjab,2018,Indian
Manpreet Gony,Bowler,37500000,Kings XI Punjab,2013,Indian
Manpreet Gony,Bowler,6000000,Gujarat Lions,2017,Indian
Manprit Juneja,Batsman,1000000,Sunrisers Hyderabad,2014,Indian
Manvinder Bisla,Wicket Keeper,6000000,Kolkata Knight Riders,2014,Indian
Manzoor Dar,All-Rounder,2000000,Kings XI Punjab,2018,Indian
Marchant De Lange,Bowler,3000000,Mumbai Indians,2014,Overseas
Marco Jansen,All-Rounder,2000000,Mumbai Indians,2021,Overseas
Marco Jansen,All-Rounder,42000000,Sunrisers Hyderabad,2022,Overseas
Marcus Stoinis,All-Rounder,2500000,Delhi Daredevils,2015,Overseas
Marcus Stoinis,All-Rounder,5500000,Kings XI Punjab,2016,Overseas
Marcus Stoinis,All-Rounder,62000000,Kings XI Punjab,2018,Overseas
Marcus Stoinis,All-Rounder,48000000,Delhi Capitals,2020,Overseas
Mark Wood,Bowler,15000000,Chennai Super Kings,2018,Overseas
Mark Wood,Bowler,75000000,Lucknow Super Giants,2022,Overseas
Martin Guptill,Batsman,5000000,Kings XI Punjab,2017,Overseas
Martin Guptill,Batsman,10000000,Sunrisers Hyderabad,2019,Overseas
Matt Henry,Bowler,3000000,Chennai Super Kings,2014,Overseas
Matt Henry,Bowler,5000000,Kings XI Punjab,2017,Overseas
Matthew Wade,Wicket Keeper,24000000,Gujarat Titans,2022,Overseas
Mayank Agarwal,Batsman,16000000,Delhi Daredevils,2014,Indian
Mayank Agarwal,Batsman,10000000,Kings XI Punjab,2018,Indian
Mayank Dagar,All-Rounder,2000000,Kings XI Punjab,2018,Indian
Mayank Markande,Bowler,2000000,Mumbai Indians,2018,Indian
Mayank Markande,Bowler,6500000,Mumbai Indians,2022,Indian
Mayank Yadav,Bowler,2000000,Lucknow Super Giants,2022,Indian
Michael Clarke,Batsman,30000000,Pune Warriors India,2013,Overseas
Michael Hussey,Batsman,50000000,Mumbai Indians,2014,Overseas
Michael Hussey,Batsman,15000000,Chennai Super Kings,2015,Overseas
Midhun S,All-Rounder,2000000,Rajasthan Royals,2018,Indian
Milind Kumar,Batsman,1000000,Delhi Daredevils,2014,Indian
Milind Kumar,All-Rounder,2000000,Royal Challengers Bangalore,2019,Indian
Milind Tandon,All-Rounder,1000000,Rising Pune Supergiant,2017,Indian
Mitchell Johnson,All-Rounder,65000000,Kings XI Punjab,2014,Overseas
Mitchell Johnson,Bowler,20000000,Mumbai Indians,2017,Overseas
Mitchell Johnson,Bowler,20000000,Kolkata Knight Riders,2018,Overseas
Mitchell Marsh,All-Rounder,48000000,Rising Pune Supergiant,2016,Overseas
Mitchell Marsh,All-Rounder,20000000,Sunrisers Hyderabad,2020,Overseas
Mitchell Marsh,All-Rounder,65000000,Delhi Capitals,2022,Overseas
Mitchell McClenaghan,Bowler,3000000,Mumbai Indians,2015,Overseas
Mitchell Santner,All-Rounder,5000000,Chennai Super Kings,2018,Overseas
Mitchell Santner,All-Rounder,19000000,Chennai Super Kings,2022,Overseas
Mitchell Starc,Bowler,50000000,Royal Challengers Bangalore,2014,Overseas
Mitchell Starc,Bowler,94000000,Kolkata Knight Riders,2018,Overseas
Mithun Manhas,All-Rounder,3000000,Chennai Super Kings,2014,Indian
Moeen Ali,All-Rounder,17000000,Royal Challengers Bangalore,2018,Overseas
Moeen Ali,All-Rounder,70000000,Chennai Super Kings,2021,Overseas
Mohammad Nabi,All-Rounder,3000000,Sunrisers Hyderabad,2017,Overseas
Mohammad Nabi,All-Rounder,10000000,Sunrisers Hyderabad,2018,Overseas
Mohammad Nabi,All-Rounder,10000000,Kolkata Knight Riders,2022,Overseas
Mohammad Shami,Bowler,42500000,Delhi Daredevils,2014,Indian
Mohammad Shami,Bowler,30000000,Delhi Daredevils,2018,Indian
Mohammad Shami,Bowler,48000000,Kings XI Punjab,2019,Indian
Mohammad Shami,Bowler,62500000,Gujarat Titans,2022,Indian
Mohammed Azharudeen,Wicket Keeper,2000000,Royal Challengers Bangalore,2021,Indian
Mohammed Siraj,Bowler,26000000,Sunrisers Hyderabad,2017,Indian
Mohammed Siraj,Bowler,26000000,Royal Challengers Bangalore,2018,Indian
Mohd. Arshad Khan,All-Rounder,2000000,Mumbai Indians,2022,Indian
Mohit Sharma,Bowler,20000000,Chennai Super Kings,2014,Indian
Mohit Sharma,Bowler,65000000,Kings XI Punjab,2016,Indian
Mohit Sharma,Bowler,24000000,Kings XI Punjab,2018,Indian
Mohit Sharma,Bowler,50000000,Chennai Super Kings,2019,Indian
Mohit Sharma,Bowler,5000000,Delhi Capitals,2020,Indian
Mohsin Khan,Bowler,2000000,Mumbai Indians,2018,Indian
Mohsin Khan,Bowler,2000000,Mumbai Indians,2020,Indian
Mohsin Khan,Bowler,2000000,Lucknow Super Giants,2022,Indian
Moises Henriques,All-Rounder,22500000,Royal Challengers Bangalore,2013,Overseas
Moises Henriques,All-Rounder,10000000,Sunrisers Hyderabad,2014,Overseas
Moises Henriques,All-Rounder,10000000,Kings XI Punjab,2019,Overseas
Moises Henriques,All-Rounder,42000000,Punjab Kings,2021,Overseas
Monu Singh,Bowler,2000000,Chennai Super Kings,2018,Indian
Morne Morkel,Bowler,28000000,Kolkata Knight Riders,2014,Overseas
Mujeeb Zadran,Bowler,40000000,Kings XI Punjab,2018,Overseas
Mujeeb Zadran,Bowler,15000000,Sunrisers Hyderabad,2021,Overseas
Mukesh Choudhary,Bowler,2000000,Chennai Super Kings,2022,Indian
Munaf Patel,Bowler,3000000,Gujarat Lions,2017,Indian
Murali Kartik,Bowler,10000000,Kings XI Punjab,2014,Indian
Murali Vijay,Batsman,50000000,Delhi Daredevils,2014,Indian
Murali Vijay,Batsman,30000000,Kings XI Punjab,2015,Indian
Murali Vijay,Batsman,20000000,Chennai Super Kings,2018,Indian
Murugan Ashwin,Bowler,16000000,Mumbai Indians,2022,Indian
Mustafizur Rahman,Bowler,14000000,Sunrisers Hyderabad,2016,Overseas
Mustafizur Rahman,Bowler,22000000,Mumbai Indians,2018,Overseas
Mustafizur Rahman,Bowler,10000000,Rajasthan Royals,2021,Overseas
Mustafizur Rahman,Bowler,20000000,Delhi Capitals,2022,Overseas
Muttiah Muralitharan,Bowler,10000000,Royal Challengers Bangalore,2014,Overseas
N Jagadeesan,Wicket Keeper,2000000,Chennai Super Kings,2018,Indian
N. Jagadeesan,Wicket Keeper,2000000,Chennai Super Kings,2022,Indian
N. Tilak Varma,All-Rounder,17000000,Mumbai Indians,2022,Indian
Naman Ojha,Wicket Keeper,5000000,Sunrisers Hyderabad,2014,Indian
Naman Ojha,Wicket Keeper,14000000,Delhi Daredevils,2018,Indian
Nathan Coulter-Nile,Bowler,33750000,Mumbai Indians,2013,Overseas
Nathan Coulter-Nile,Bowler,42500000,Delhi Daredevils,2014,Overseas
Nathan Coulter-Nile,Bowler,35000000,Kolkata Knight Riders,2017,Overseas
Nathan Coulter-Nile,Bowler,22000000,Royal Challengers Bangalore,2018,Overseas
Nathan Coulter-Nile,Bowler,80000000,Mumbai Indians,2020,Overseas
Nathan Coulter-Nile,Bowler,50000000,Mumbai Indians,2021,Overseas
Nathan Coulter-Nile,Bowler,20000000,Rajasthan Royals,2022,Overseas
Nathan Ellis,Bowler,7500000,Punjab Kings,2022,Overseas
Nathan McCullum,Bowler,7500000,Sunrisers Hyderabad,2013,Overseas
Nathu Singh,Bowler,32000000,Mumbai Indians,2016,Indian
Nathu Singh,Bowler,5000000,Gujarat Lions,2017,Indian
Nathu Singh,Bowler,2000000,Delhi Capitals,2019,Indian
Navdeep Saini,Bowler,1000000,Delhi Daredevils,2017,Indian
Navdeep Saini,Bowler,30000000,Royal Challengers Bangalore,2018,Indian
Navdeep Saini,Bowler,26000000,Rajasthan Royals,2022,Indian
Nic Maddinson,Batsman,5000000,Royal Challengers Bangalore,2014,Overseas
Nicolas Pooran,Wicket Keeper,107500000,Sunrisers Hyderabad,2022,Overseas
Nicolas Pooran,Wicket Keeper,3000000,Mumbai Indians,2017,Overseas
Nicolas Pooran,Wicket Keeper,42000000,Kings XI Punjab,2019,Overseas
Nidheesh M D Dinesan,Bowler,2000000,Mumbai Indians,2018,Indian
Nikhil Shankar Naik,Wicket Keeper,3000000,Kings XI Punjab,2015,Indian
Nikhil Shankar Naik,Wicket Keeper,2000000,Kolkata Knight Riders,2019,Indian
Nikhil Shankar Naik,Wicket Keeper,2000000,Kolkata Knight Riders,2020,Indian
Nitish Rana,All-Rounder,1000000,Mumbai Indians,2015,Indian
Nitish Rana,All-Rounder,34000000,Kolkata Knight Riders,2018,Indian
Nitish Rana,All-Rounder,80000000,Kolkata Knight Riders,2022,Indian
Noor Ahmad,Bowler,3000000,Gujarat Titans,2022,Overseas
Obed Mccoy,Bowler,7500000,Rajasthan Royals,2022,Overseas
Odean Smith,All-Rounder,60000000,Punjab Kings,2022,Overseas
Oshane Thomas,Bowler,11000000,Rajasthan Royals,2019,Overseas
Oshane Thomas,Bowler,5000000,Rajasthan Royals,2020,Overseas
Pankaj Jaswal,All-Rounder,2000000,Mumbai Indians,2019,Overseas
Pankaj Singh,Bowler,11250000,Royal Challengers Bangalore,2013,Indian
Paras Dogra,Batsman,1000000,Gujarat Lions,2016,Indian
Pardeep Sahu,All-Rounder,1000000,Rajasthan Royals,2015,Indian
Pardeep Sahu,All-Rounder,1000000,Kings XI Punjab,2016,Indian
Pardeep Sahu,Bowler,2000000,Kings XI Punjab,2018,Indian
Parthiv Patel,Wicket Keeper,14000000,Royal Challengers Bangalore,2014,Indian
Parthiv Patel,Wicket Keeper,17000000,Royal Challengers Bangalore,2018,Indian
Parveez Rasool,All-Rounder,9500000,Sunrisers Hyderabad,2014,Indian
Parvinder Awana,Bowler,6500000,Kings XI Punjab,2014,Indian
Pat Cummins,Bowler,54000000,Mumbai Indians,2018,Overseas
Pat Cummins,All-Rounder,155000000,Kolkata Knight Riders,2020,Overseas
Pat Cummins,All-Rounder,72500000,Kolkata Knight Riders,2022,Overseas
Pat Cummins,Bowler,10000000,Kolkata Knight Riders,2014,Overseas
Pat Cummins,Bowler,45000000,Delhi Daredevils,2017,Overseas
Pavan Deshpande,All-Rounder,2000000,Royal Challengers Bangalore,2018,Indian
Pavan Deshpande,All-Rounder,2000000,Royal Challengers Bangalore,2020,Indian
Pawan Negi,Bowler,1000000,Chennai Super Kings,2014,Indian
Pawan Negi,All-Rounder,85000000,Delhi Daredevils,2016,Indian
Pawan Negi,All-Rounder,10000000,Royal Challengers Bangalore,2017,Indian
Pawan Negi,All-Rounder,10000000,Royal Challengers Bangalore,2018,Indian
Pawan Negi,All-Rounder,5000000,Kolkata Knight Riders,2021,Indian
Pawan Suyal,Bowler,1000000,Mumbai Indians,2014,Indian
Pawan Suyal,Bowler,1000000,Delhi Daredevils,2016,Indian
Peter Handscomb,Wicket Keeper,3000000,Rising Pune Supergiant,2016,Overseas
Philip Hughes,Batsman,7500000,Mumbai Indians,2013,Overseas
Piyush Chawla,Bowler,42500000,Kolkata Knight Riders,2014,Indian
Piyush Chawla,Bowler,42000000,Kolkata Knight Riders,2018,Indian
Piyush Chawla,Bowler,67500000,Chennai Super Kings,2020,Indian
Piyush Chawla,Bowler,24000000,Mumbai Indians,2021,Indian
Prabhsimran Singh,Wicket Keeper,48000000,Kings XI Punjab,2019,Indian
Prabhsimran Singh,Wicket Keeper,5500000,Kings XI Punjab,2020,Indian
Prabhsimran Singh,Wicket Keeper,6000000,Punjab Kings,2022,Indian
Pradeep Sangwan,All-Rounder,2000000,Gujarat Lions,2016,Indian
Pradeep Sangwan,Bowler,15000000,Mumbai Indians,2018,Indian
Pradeep Sangwan,All-Rounder,2000000,Gujarat Titans,2022,Indian
Pragyan Ojha,Bowler,32500000,Mumbai Indians,2014,Indian
Pragyan Ojha,Bowler,5000000,Mumbai Indians,2015,Indian
Prasanth Padmanabhan,All-Rounder,1000000,Sunrisers Hyderabad,2015,Indian
Prasanth Parameswaran,Bowler,3000000,Sunrisers Hyderabad,2014,Indian
Prashant Chopra,Wicket Keeper,2000000,Rajasthan Royals,2018,Indian
Prashant Solanki,Bowler,12000000,Chennai Super Kings,2022,Indian
Prasidh Krishna,Bowler,100000000,Rajasthan Royals,2022,Indian
Pratham Singh,All-Rounder,1000000,Gujarat Lions,2017,Indian
Pratham Singh,Batsman,2000000,Kolkata Knight Riders,2022,Indian
Pratyush Singh,All-Rounder,1000000,Chennai Super Kings,2015,Indian
Pratyush Singh,All-Rounder,1000000,Delhi Daredevils,2016,Indian
Praveen Dubey,All-Rounder,3500000,Royal Challengers Bangalore,2016,Indian
Praveen Dubey,All-Rounder,1000000,Royal Challengers Bangalore,2017,Indian
Praveen Kumar,Bowler,22000000,Sunrisers Hyderabad,2015,Indian
Praveen Kumar,Bowler,35000000,Gujarat Lions,2016,Indian
Pravin Dubey,All-Rounder,5000000,Delhi Capitals,2022,Indian
Pravin Tambe,Bowler,1000000,Rajasthan Royals,2014,Indian
Pravin Tambe,Bowler,2000000,Gujarat Lions,2016,Indian
Pravin Tambe,Bowler,1000000,Sunrisers Hyderabad,2017,Indian
Pravin Tambe,Bowler,2000000,Kolkata Knight Riders,2020,Indian
Prayas Ray Barman,All-Rounder,15000000,Royal Challengers Bangalore,2019,Indian
Prerak Mankad,All-Rounder,2000000,Punjab Kings,2022,Indian
Prince Balwant Rai Singh,All-Rounder,2000000,Mumbai Indians,2020,Indian
Prithvi Raj Yarra,Bowler,2000000,Kolkata Knight Riders,2019,Indian
Prithvi Shaw,Batsman,12000000,Delhi Daredevils,2018,Indian
Priyam Garg,Batsman,19000000,Sunrisers Hyderabad,2020,Indian
Priyam Garg,Batsman,2000000,Sunrisers Hyderabad,2022,Indian
Quinton De Kock,Wicket Keeper,1500000,Sunrisers Hyderabad,2013,Overseas
Quinton De Kock,Wicket Keeper,35000000,Delhi Daredevils,2014,Overseas
Quinton De Kock,Wicket Keeper,28000000,Royal Challengers Bangalore,2018,Overseas
Quinton De Kock,Wicket Keeper,67500000,Lucknow Super Giants,2022,Overseas
R Samarth,Batsman,2000000,Sunrisers Hyderabad,2022,Indian
R. Ashwin,All-Rounder,50000000,Rajasthan Royals,2022,Indian
R. Sai Kishore,Bowler,2000000,Chennai Super Kings,2020,Indian
R. Sai Kishore,Bowler,30000000,Gujarat Titans,2022,Indian
R. Sanjay Yadav,All-Rounder,1000000,Kolkata Knight Riders,2017,Indian
Rahul Ajay Tripathi,All-Rounder,1000000,Rising Pune Supergiant,2017,Indian
Rahul Buddhi,Batsman,2000000,Mumbai Indians,2022,Indian
Rahul Chahar,Bowler,1000000,Rising Pune Supergiant,2017,Indian
Rahul Chahar,Bowler,19000000,Mumbai Indians,2018,Indian
Rahul Chahar,Bowler,52500000,Punjab Kings,2022,Indian
Rahul Sharma,Bowler,19000000,Delhi Daredevils,2014,Indian
Rahul Sharma,Bowler,3000000,Chennai Super Kings,2015,Indian
Rahul Shukla,Bowler,4000000,Delhi Daredevils,2014,Indian
Rahul Tewatia,All-Rounder,1000000,Rajasthan Royals,2014,Indian
Rahul Tewatia,All-Rounder,2500000,Kings XI Punjab,2017,Indian
Rahul Tewatia,All-Rounder,30000000,Delhi Daredevils,2018,Indian
Rahul Tewatia,All-Rounder,90000000,Gujarat Titans,2022,Indian
Rahul Tripathi,Batsman,34000000,Rajasthan Royals,2018,Indian
Rahul Tripathi,Batsman,6000000,Kolkata Knight Riders,2020,Indian
Rahul Tripathi,Batsman,85000000,Sunrisers Hyderabad,2022,Indian
Raj Angad Bawa,All-Rounder,20000000,Punjab Kings,2022,Indian
Rajagopal Sathish,All-Rounder,2000000,Kolkata Knight Riders,2016,Indian
Rajat Bhatia,All-Rounder,17000000,Rajasthan Royals,2014,Indian
Rajat Bhatia,All-Rounder,6000000,Rising Pune Supergiant,2016,Indian
Rajat Patidar,Batsman,2000000,Royal Challengers Bangalore,2021,Indian
Rajvardhan Hangargekar,All-Rounder,15000000,Chennai Super Kings,2022,Indian
Ramandeep Singh,All-Rounder,2000000,Mumbai Indians,2022,Indian
Ramesh Kumar,Batsman,2000000,Kolkata Knight Riders,2022,Indian
Ranganath Vinay Kumar,Bowler,28000000,Kolkata Knight Riders,2014,Indian
Ranganath Vinay Kumar,Bowler,10000000,Kolkata Knight Riders,2018,Indian
Rashid Khan Arman,Bowler,40000000,Sunrisers Hyderabad,2017,Overseas
Rashid Khan Arman,Bowler,90000000,Sunrisers Hyderabad,2018,Overseas
Rasikh Dar,Bowler,2000000,Mumbai Indians,2019,Indian
Rasikh Dar,Bowler,2000000,Kolkata Knight Riders,2022,Indian
Rassie Van Der Dussen,Batsman,10000000,Rajasthan Royals,2022,Overseas
Ravi Bishnoi,Bowler,20000000,Kings XI Punjab,2020,Indian
Ravi Bopara,All-Rounder,10000000,Sunrisers Hyderabad,2015,Indian
Ravi Rampaul,Bowler,21750000,Royal Challengers Bangalore,2013,Overseas
Ravi Rampaul,Bowler,9000000,Royal Challengers Bangalore,2014,Overseas
Ravichandran Ashwin,All-Rounder,76000000,Kings XI Punjab,2018,Overseas
Ricky Bhui,Batsman,1000000,Sunrisers Hyderabad,2014,Overseas
Ricky Bhui,Batsman,2000000,Sunrisers Hyderabad,2018,Overseas
Ricky Ponting,Batsman,30000000,Mumbai Indians,2013,Overseas
Riley Meredith,Bowler,80000000,Punjab Kings,2021,Overseas
Riley Meredith,Bowler,10000000,Mumbai Indians,2022,Overseas
Rinku Singh,Batsman,1000000,Kings XI Punjab,2017,Indian
Rinku Singh,Batsman,8000000,Kolkata Knight Riders,2018,Indian
Rinku Singh,Batsman,5500000,Kolkata Knight Riders,2022,Indian
Ripal Patel,All-Rounder,2000000,Delhi Capitals,2021,Indian
Ripal Patel,All-Rounder,2000000,Delhi Capitals,2022,Indian
Rishabh Pant,Wicket Keeper,19000000,Delhi Daredevils,2016,Indian
Rishi Dhawan,All-Rounder,30000000,Kings XI Punjab,2014,Indian
Rishi Dhawan,All-Rounder,5500000,Kolkata Knight Riders,2017,Indian
Rishi Dhawan,All-Rounder,5500000,Punjab Kings,2022,Indian
